id,label,heuristicLabel,keywords,description,enrichedBy,cohesion,symbolCount
"comm_23","Player","Player",[],"","heuristic",0.6863905325443787,214
"comm_63","Player","Player",[],"","heuristic",0.71939736346516,123
"comm_43","Player","Player",[],"","heuristic",0.5826771653543307,107
"comm_28","Item","Item",[],"","heuristic",0.5195121951219512,64
"comm_22","Data","Data",[],"","heuristic",0.8644859813084113,59
"comm_17","Data","Data",[],"","heuristic",0.42424242424242425,31
"comm_54","Family","Family",[],"","heuristic",0.6050420168067226,28
"comm_30","Player","Player",[],"","heuristic",0.4752475247524752,23
"comm_165","Player","Player",[],"","heuristic",0.5112781954887218,20
"comm_50","Data","Data",[],"","heuristic",0.7945205479452054,19
"comm_11","Timing","Timing",[],"","heuristic",0.8888888888888888,17
"comm_8","Tool","Tool",[],"","heuristic",0.6521739130434783,14
"comm_12","Timing","Timing",[],"","heuristic",0.7441860465116279,14
"comm_168","Item","Item",[],"","heuristic",0.35051546391752575,14
"comm_31","Main","Main",[],"","heuristic",0.631578947368421,13
"comm_34","Timing","Timing",[],"","heuristic",0.8125,13
"comm_45","Main","Main",[],"","heuristic",0.5263157894736842,13
"comm_101","Tool","Tool",[],"","heuristic",0.8,13
"comm_40","Triggers","Triggers",[],"","heuristic",0.6896551724137931,11
"comm_44","Player","Player",[],"","heuristic",0.40816326530612246,11
"comm_119","Player","Player",[],"","heuristic",0.38202247191011235,11
"comm_179","Player","Player",[],"","heuristic",0.6037735849056604,11
"comm_193","Map","Map",[],"","heuristic",0.5,11
"comm_99","Item","Item",[],"","heuristic",0.4722222222222222,10
"comm_29","Main","Main",[],"","heuristic",0.5925925925925926,9
"comm_61","Cluster_61","Cluster_61",[],"","heuristic",0.6956521739130435,9
"comm_172","Bangxephang","Bangxephang",[],"","heuristic",0.5714285714285714,9
"comm_65","Data","Data",[],"","heuristic",0.5217391304347826,8
"comm_138","Map","Map",[],"","heuristic",0.4,8
"comm_176","Player","Player",[],"","heuristic",0.3783783783783784,8
"comm_182","Player","Player",[],"","heuristic",0.75,8
"comm_7","Test","Test",[],"","heuristic",0.8235294117647058,7
"comm_26","Main","Main",[],"","heuristic",0.6086956521739131,7
"comm_57","Cluster_57","Cluster_57",[],"","heuristic",0.7058823529411765,7
"comm_88","Interpolation","Interpolation",[],"","heuristic",0.9230769230769231,7
"comm_122","Player","Player",[],"","heuristic",0.3783783783783784,7
"comm_135","Map","Map",[],"","heuristic",0.42857142857142855,7
"comm_142","Map","Map",[],"","heuristic",0.43137254901960786,7
"comm_156","Task","Task",[],"","heuristic",0.3,7
"comm_157","Task","Task",[],"","heuristic",0.45,7
"comm_181","Player","Player",[],"","heuristic",0.48,7
"comm_185","Player","Player",[],"","heuristic",0.25,7
"comm_186","Player","Player",[],"","heuristic",0.48,7
"comm_187","Player","Player",[],"","heuristic",0.5,7
"comm_188","Item","Item",[],"","heuristic",0.4528301886792453,7
"comm_13","Group","Group",[],"","heuristic",0.9090909090909091,6
"comm_14","Table","Table",[],"","heuristic",0.9090909090909091,6
"comm_47","Khobau","Khobau",[],"","heuristic",0.625,6
"comm_55","Item","Item",[],"","heuristic",0.8333333333333334,6
"comm_82","Interpolation","Interpolation",[],"","heuristic",0.875,6
"comm_124","Player","Player",[],"","heuristic",0.7142857142857143,6
"comm_141","Map","Map",[],"","heuristic",0.5454545454545454,6
"comm_158","Task","Task",[],"","heuristic",0.4166666666666667,6
"comm_25","Utlis","Utlis",[],"","heuristic",0.8888888888888888,5
"comm_27","Utlis","Utlis",[],"","heuristic",0.7272727272727273,5
"comm_32","Npc","Npc",[],"","heuristic",0.5454545454545454,5
"comm_56","Data","Data",[],"","heuristic",0.5333333333333333,5
"comm_60","Write","Write",[],"","heuristic",0.6666666666666666,5
"comm_66","Cluster_66","Cluster_66",[],"","heuristic",0.43478260869565216,5
"comm_103","Tool","Tool",[],"","heuristic",0.5333333333333333,5
"comm_123","Data","Data",[],"","heuristic",0.5,5
"comm_139","Data","Data",[],"","heuristic",0.3333333333333333,5
"comm_149","Player","Player",[],"","heuristic",0.5,5
"comm_159","Task","Task",[],"","heuristic",0.47058823529411764,5
"comm_169","Cho","Cho",[],"","heuristic",0.6666666666666666,5
"comm_180","Player","Player",[],"","heuristic",0.34782608695652173,5
"comm_194","Map","Map",[],"","heuristic",0.5,5
"comm_21","Item","Item",[],"","heuristic",0.35294117647058826,4
"comm_24","Player","Player",[],"","heuristic",0.375,4
"comm_33","Timing","Timing",[],"","heuristic",0.8571428571428571,4
"comm_35","Timing","Timing",[],"","heuristic",0.75,4
"comm_36","Timing","Timing",[],"","heuristic",0.75,4
