id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_0_senddatacho","SendDataCho → DataCenter","SendDataCho → DataCenter","cross_community",8,"['comm_23','comm_168','comm_28','comm_17']","Method:src/com/langla/real/player/Session.java:Serivce.sendDataCho#3","Constructor:src/com/langla/data/DataCenter.java:DataCenter.DataCenter#0"
"proc_1_readarrdatagame","ReadArrDataGame → I","ReadArrDataGame → I","cross_community",6,"['comm_22','comm_66','comm_61','comm_57']","Method:src/com/langla/data/DataCenter.java:DataCenter.readArrDataGame#1","Method:src/com/langla/lib/Utlis.java:Utlis.i#1~int"
"proc_2_readarrdatagame","ReadArrDataGame → Write","ReadArrDataGame → Write","cross_community",6,"['comm_22','comm_66','comm_61','comm_57']","Method:src/com/langla/data/DataCenter.java:DataCenter.readArrDataGame#1","Method:src/com/langla/lib/Binary.java:Binary.write#3"
"proc_3_readarrdatagame","ReadArrDataGame → Close","ReadArrDataGame → Close","cross_community",6,"['comm_22','comm_66','comm_61','comm_57']","Method:src/com/langla/data/DataCenter.java:DataCenter.readArrDataGame#1","Method:src/com/langla/server/lib/Reader.java:Reader.close#0"
"proc_4_main","Main → LogError","Main → LogError","cross_community",6,"['comm_45','comm_17','comm_141','comm_23']","Method:src/com/langla/server/main/Main.java:Main.main#1","Method:src/com/langla/lib/Utlis.java:Utlis.logError#3"
"proc_5_main","Main → CreateNewEffectList","Main → CreateNewEffectList","cross_community",6,"['comm_45','comm_17','comm_141','comm_142']","Method:src/com/langla/server/main/Main.java:Main.main#1","Method:src/com/langla/real/map/Mob.java:Mob.createNewEffectList#0"
"proc_6_main","Main → GetIDMob","Main → GetIDMob","cross_community",6,"['comm_45','comm_17','comm_141','comm_142']","Method:src/com/langla/server/main/Main.java:Main.main#1","Method:src/com/langla/data/DataCache.java:DataCache.getIDMob#0"
"proc_7_gokhamngoc","GoKhamNgoc → DataCenter","GoKhamNgoc → DataCenter","cross_community",6,"['comm_28','comm_188','comm_168','comm_17']","Method:src/com/langla/real/player/Char.java:Char.goKhamNgoc#3","Constructor:src/com/langla/data/DataCenter.java:DataCenter.DataCenter#0"
"proc_8_buyshop","BuyShop → DataCenter","BuyShop → DataCenter","cross_community",6,"['comm_43','comm_28','comm_168','comm_17']","Method:src/com/langla/real/player/Char.java:Char.BuyShop#2","Constructor:src/com/langla/data/DataCenter.java:DataCenter.DataCenter#0"
"proc_9_khamngoc","KhamNgoc → DataCenter","KhamNgoc → DataCenter","cross_community",6,"['comm_28','comm_188','comm_168','comm_17']","Method:src/com/langla/real/player/Char.java:Char.khamNgoc#3","Constructor:src/com/langla/data/DataCenter.java:DataCenter.DataCenter#0"
"proc_10_readitembody","ReadItemBody → DataCenter","ReadItemBody → DataCenter","cross_community",6,"['comm_22','comm_28','comm_168','comm_17']","Method:src/com/langla/real/player/Char.java:Char.readItemBody#2","Constructor:src/com/langla/data/DataCenter.java:DataCenter.DataCenter#0"
"proc_11_donegiaodich","DoneGiaoDich → Writer","DoneGiaoDich → Writer","cross_community",6,"['comm_43','comm_23']","Method:src/com/langla/real/player/Char.java:Char.DoneGiaoDich#0","Constructor:src/com/langla/server/lib/Writer.java:Writer.Writer#0"
"proc_12_cuonghoa","CuongHoa → DataCenter","CuongHoa → DataCenter","cross_community",6,"['comm_188','comm_168','comm_17']","Method:src/com/langla/real/player/Char.java:Char.cuongHoa#4","Constructor:src/com/langla/data/DataCenter.java:DataCenter.DataCenter#0"
"proc_13_jcombobox1actionperf","JComboBox1ActionPerformed → DataCenter","JComboBox1ActionPerformed → DataCenter","cross_community",6,"['comm_99','comm_22','comm_28','comm_168','comm_17']","Method:src/com/langla/server/tool/frmCreateItem.java:frmCreateItem.jComboBox1ActionPerformed#1","Constructor:src/com/langla/data/DataCenter.java:DataCenter.DataCenter#0"
"proc_14_effattackplayer","EffAttackPlayer → DataCenter","EffAttackPlayer → DataCenter","cross_community",6,"['comm_186','comm_179','comm_123','comm_17']","Method:src/com/langla/real/player/Char.java:Char.effAttackPlayer#2","Constructor:src/com/langla/data/DataCenter.java:DataCenter.DataCenter#0"
"proc_15_effattackplayer","EffAttackPlayer → Split","EffAttackPlayer → Split","cross_community",6,"['comm_186','comm_179','comm_65','comm_28']","Method:src/com/langla/real/player/Char.java:Char.effAttackPlayer#2","Method:src/com/langla/lib/Utlis.java:Utlis.split#2"
"proc_16_effattackplayer","EffAttackPlayer → LogError","EffAttackPlayer → LogError","cross_community",6,"['comm_186','comm_179','comm_65','comm_23']","Method:src/com/langla/real/player/Char.java:Char.effAttackPlayer#2","Method:src/com/langla/lib/Utlis.java:Utlis.logError#3"
"proc_17_nhanthuong","NhanThuong → DataCenter","NhanThuong → DataCenter","cross_community",6,"['comm_43','comm_28','comm_168','comm_17']","Method:src/com/langla/real/khobau/KhoBau.java:KhoBau.NhanThuong#2","Constructor:src/com/langla/data/DataCenter.java:DataCenter.DataCenter#0"
"proc_18_dropitem","DropItem → DataCenter","DropItem → DataCenter","cross_community",6,"['comm_99','comm_28','comm_168','comm_17']","Method:src/com/langla/real/map/Map.java:Zone.dropItem#2","Constructor:src/com/langla/data/DataCenter.java:DataCenter.DataCenter#0"
"proc_19_handlegift","HandleGift → DataCenter","HandleGift → DataCenter","cross_community",6,"['comm_43','comm_28','comm_168','comm_17']","Method:src/com/langla/real/baucua/BauCua.java:BauCua.handleGift#1","Constructor:src/com/langla/data/DataCenter.java:DataCenter.DataCenter#0"
