id,label,heuristicLabel,keywords,description,enrichedBy,cohesion,symbolCount
"comm_22","Player","Player",[],"","heuristic",0.7098703888334995,231
"comm_27","Player","Player",[],"","heuristic",0.7050561797752809,171
"comm_41","Family","Family",[],"","heuristic",0.6190476190476191,56
"comm_21","Data","Data",[],"","heuristic",0.7790697674418605,40
"comm_16","Data","Data",[],"","heuristic",0.41916167664670656,31
"comm_109","Player","Player",[],"","heuristic",0.3939393939393939,27
"comm_35","Map","Map",[],"","heuristic",0.6712328767123288,25
"comm_112","Map","Map",[],"","heuristic",0.35344827586206895,25
"comm_29","Player","Player",[],"","heuristic",0.4752475247524752,22
"comm_3","Tool","Tool",[],"","heuristic",0.7936507936507936,21
"comm_51","Task","Task",[],"","heuristic",0.5864661654135338,21
"comm_38","Data","Data",[],"","heuristic",0.8,20
"comm_10","Timing","Timing",[],"","heuristic",0.8888888888888888,17
"comm_30","Main","Main",[],"","heuristic",0.6376811594202898,17
"comm_67","Tool","Tool",[],"","heuristic",0.717948717948718,15
"comm_111","Map","Map",[],"","heuristic",0.3484848484848485,15
"comm_11","Timing","Timing",[],"","heuristic",0.7441860465116279,14
"comm_28","Data","Data",[],"","heuristic",0.7777777777777778,13
"comm_137","Player","Player",[],"","heuristic",0.6764705882352942,13
"comm_167","Timing","Timing",[],"","heuristic",0.8125,13
"comm_32","Player","Player",[],"","heuristic",0.43137254901960786,12
"comm_37","Data","Data",[],"","heuristic",0.5454545454545454,12
"comm_70","Map","Map",[],"","heuristic",0.4745762711864407,12
"comm_136","Player","Player",[],"","heuristic",0.42857142857142855,12
"comm_48","Player","Player",[],"","heuristic",0.3368421052631579,11
"comm_83","Item","Item",[],"","heuristic",0.4675324675324675,11
"comm_148","Player","Player",[],"","heuristic",0.35714285714285715,11
"comm_173","Triggers","Triggers",[],"","heuristic",0.6896551724137931,11
"comm_149","Player","Player",[],"","heuristic",0.4383561643835616,10
"comm_33","Main","Main",[],"","heuristic",0.4878048780487805,9
"comm_46","Cluster_46","Cluster_46",[],"","heuristic",0.6956521739130435,9
"comm_49","Data","Data",[],"","heuristic",0.4745762711864407,9
"comm_116","Player","Player",[],"","heuristic",0.42857142857142855,9
"comm_129","Bangxephang","Bangxephang",[],"","heuristic",0.5714285714285714,9
"comm_146","Player","Player",[],"","heuristic",0.36923076923076925,9
"comm_54","Player","Player",[],"","heuristic",0.4,8
"comm_71","Data","Data",[],"","heuristic",0.6086956521739131,8
"comm_133","Player","Player",[],"","heuristic",0.3783783783783784,8
"comm_140","Player","Player",[],"","heuristic",0.75,8
"comm_23","Player","Player",[],"","heuristic",0.5,7
"comm_25","Main","Main",[],"","heuristic",0.6086956521739131,7
"comm_34","Item","Item",[],"","heuristic",0.75,7
"comm_42","Cluster_42","Cluster_42",[],"","heuristic",0.7058823529411765,7
"comm_139","Player","Player",[],"","heuristic",0.48,7
"comm_150","Player","Player",[],"","heuristic",0.5,7
"comm_188","Interpolation","Interpolation",[],"","heuristic",0.9230769230769231,7
"comm_12","Group","Group",[],"","heuristic",0.9090909090909091,6
"comm_13","Table","Table",[],"","heuristic",0.9090909090909091,6
"comm_36","Khobau","Khobau",[],"","heuristic",0.625,6
"comm_57","Player","Player",[],"","heuristic",0.7142857142857143,6
"comm_73","Player","Player",[],"","heuristic",0.41025641025641024,6
"comm_74","Map","Map",[],"","heuristic",0.5454545454545454,6
"comm_157","Item","Item",[],"","heuristic",0.6666666666666666,6
"comm_182","Interpolation","Interpolation",[],"","heuristic",0.875,6
"comm_24","Utlis","Utlis",[],"","heuristic",0.8888888888888888,5
"comm_26","Utlis","Utlis",[],"","heuristic",0.7272727272727273,5
"comm_31","Npc","Npc",[],"","heuristic",0.5454545454545454,5
"comm_45","Write","Write",[],"","heuristic",0.6666666666666666,5
"comm_50","Cluster_50","Cluster_50",[],"","heuristic",0.43478260869565216,5
"comm_55","Data","Data",[],"","heuristic",0.5,5
"comm_86","Tool","Tool",[],"","heuristic",0.5333333333333333,5
"comm_107","Player","Player",[],"","heuristic",0.5,5
"comm_118","Task","Task",[],"","heuristic",0.47058823529411764,5
"comm_126","Cho","Cho",[],"","heuristic",0.6666666666666666,5
"comm_138","Player","Player",[],"","heuristic",0.34782608695652173,5
"comm_20","Item","Item",[],"","heuristic",0.35294117647058826,4
"comm_39","Player","Player",[],"","heuristic",0.75,4
"comm_56","Tool","Tool",[],"","heuristic",1,4
"comm_58","Map","Map",[],"","heuristic",0.3333333333333333,4
"comm_72","Data","Data",[],"","heuristic",0.4,4
